u,i,ts,w
0,1,0,1
2,3,0,1
4,1,0,1
5,6,0,1
7,6,0,1
8,9,0,1
8,10,0,1
11,12,0,1
8,13,0,2
8,14,0,1
8,15,0,1
8,16,0,1
8,13,0,2
8,17,0,1
18,17,0,1
19,20,0,2
18,21,0,1
7,22,0,1
8,23,0,1
8,21,0,2
24,20,0,1
25,6,0,1
26,27,0,1
28,24,0,1
29,30,0,4
29,30,0,4
29,30,0,4
29,30,0,4
31,32,0,1
33,34,0,1
33,32,0,1
35,36,0,1
37,38,0,1
35,39,0,1
40,14,0,1
40,10,0,1
40,13,0,1
40,12,0,1
40,38,0,1
40,41,0,2
40,42,0,2
8,39,0,1
43,44,0,1
45,21,0,1
43,45,0,1
46,45,0,1
47,45,0,1
8,48,0,1
35,49,0,2
43,50,0,1
31,51,0,5
35,31,0,2
52,53,0,2
35,54,0,1
55,56,0,1
35,31,0,2
35,57,0,1
43,58,0,1
50,57,0,3
43,13,0,1
35,55,0,1
35,59,0,6
55,60,0,1
61,49,0,2
35,59,0,6
31,58,0,1
35,59,0,6
35,49,0,2
40,62,0,26
40,63,0,1
40,64,0,1
40,55,0,3
40,60,0,1
40,42,0,2
40,51,0,1
40,57,0,3
40,58,0,2
8,63,0,1
8,57,0,6
11,65,0,2
31,57,0,4
11,65,0,2
66,31,0,19
40,31,0,6
66,31,0,19
31,67,0,2
67,55,0,2
66,31,0,19
66,31,0,19
67,60,0,3
66,31,0,19
66,7,0,4
68,66,0,1
69,50,0,1
43,49,0,1
66,31,0,19
70,57,0,1
70,71,0,2
50,57,0,3
71,70,0,2
72,73,0,10
73,72,0,7
72,73,0,10
73,72,0,7
33,57,0,2
43,74,0,2
43,74,0,2
8,57,0,6
72,73,0,10
8,75,0,3
31,76,0,1
40,75,0,3
40,77,0,1
78,47,0,1
78,62,0,1
40,79,0,1
78,57,0,2
40,80,0,1
78,69,0,1
18,81,0,6
18,71,0,2
11,31,0,16
18,63,0,1
18,57,0,4
18,57,0,4
18,57,0,4
18,51,0,7
82,58,0,1
50,69,0,1
37,57,0,1
40,57,0,3
62,78,0,1
40,62,0,26
66,58,0,1
40,62,0,26
40,57,0,3
43,83,0,1
18,84,0,1
18,71,0,2
2,83,0,3
18,7,0,4
18,57,0,4
83,85,0,1
82,57,0,1
35,59,0,6
85,47,0,1
86,62,0,1
35,87,0,1
86,7,0,2
35,88,0,1
89,55,0,1
35,89,0,2
35,83,0,3
90,91,0,3
35,92,0,2
90,91,0,3
35,89,0,2
90,91,0,3
35,59,0,6
35,83,0,3
50,57,0,3
93,83,0,3
35,83,0,3
93,83,0,3
93,83,0,3
68,83,0,1
68,94,0,2
86,7,0,2
2,83,0,3
2,83,0,3
47,85,0,1
83,7,0,2
90,80,0,1
95,87,0,1
7,83,0,1
83,7,0,2
90,46,0,1
96,97,0,2
97,96,0,2
96,97,0,2
47,96,0,1
98,7,0,6
98,7,0,6
96,47,0,3
99,100,0,1
101,96,0,5
96,47,0,3
96,101,0,3
100,99,0,4
47,57,0,1
96,47,0,3
102,71,0,17
102,57,0,5
103,58,0,2
103,58,0,2
102,71,0,17
104,55,0,2
105,71,0,1
104,60,0,3
104,7,0,2
104,32,0,1
104,106,0,1
104,80,0,1
43,101,0,2
35,104,0,7
35,103,0,2
33,107,0,1
33,108,0,2
35,109,0,2
110,111,0,1
33,57,0,2
35,112,0,1
35,108,0,7
78,108,0,1
113,104,0,2
100,114,0,1
55,89,0,1
55,104,0,1
55,67,0,2
28,57,0,1
86,57,0,1
43,115,0,2
43,116,0,2
43,116,0,2
43,78,0,5
79,57,0,1
95,31,0,3
117,99,0,1
118,119,0,3
118,119,0,3
119,118,0,2
119,74,0,2
118,119,0,3
119,118,0,2
118,57,0,1
73,72,0,7
117,119,0,2
120,107,0,1
71,105,0,1
43,91,0,1
25,121,0,1
43,78,0,5
0,122,0,2
95,123,0,1
124,125,0,1
35,103,0,2
43,78,0,5
43,78,0,5
35,123,0,1
35,126,0,1
35,127,0,2
43,78,0,5
43,128,0,9
43,115,0,2
8,119,0,1
78,57,0,2
35,108,0,7
123,108,0,3
35,108,0,7
123,60,0,1
123,71,0,1
35,108,0,7
35,111,0,2
123,84,0,2
84,123,0,1
31,129,0,2
35,111,0,2
123,84,0,2
71,123,0,1
123,7,0,1
130,29,0,4
98,125,0,1
102,71,0,17
102,71,0,17
102,62,0,24
102,116,0,1
102,71,0,17
130,29,0,4
68,94,0,2
68,123,0,2
68,78,0,1
131,29,0,2
35,98,0,1
35,132,0,6
35,59,0,6
35,133,0,1
35,132,0,6
35,80,0,1
102,71,0,17
102,134,0,4
132,134,0,3
134,132,0,2
35,132,0,6
102,134,0,4
18,51,0,7
132,134,0,3
102,134,0,4
102,134,0,4
134,132,0,2
132,134,0,3
35,132,0,6
35,132,0,6
35,132,0,6
8,108,0,5
8,108,0,5
61,135,0,1
95,31,0,3
136,137,0,2
95,136,0,2
18,119,0,2
43,89,0,5
95,136,0,2
136,137,0,2
18,138,0,1
43,59,0,2
43,87,0,5
43,101,0,2
43,89,0,5
18,110,0,1
43,89,0,5
8,31,0,25
43,89,0,5
43,89,0,5
102,62,0,24
102,71,0,17
37,85,0,2
139,104,0,1
102,71,0,17
37,85,0,2
37,100,0,5
37,100,0,5
37,100,0,5
102,100,0,3
37,100,0,5
102,100,0,3
37,60,0,1
74,119,0,2
37,80,0,1
43,140,0,2
43,140,0,2
43,73,0,12
43,126,0,1
123,134,0,5
139,123,0,6
18,81,0,6
18,81,0,6
18,81,0,6
104,55,0,2
18,81,0,6
123,134,0,5
104,57,0,1
104,62,0,3
18,81,0,6
104,60,0,3
104,134,0,3
123,134,0,5
70,71,0,2
134,123,0,1
8,31,0,25
62,104,0,1
71,70,0,2
141,57,0,1
123,134,0,5
123,134,0,5
